Attribute,Target,Rulex,LIME,SHAP
S_AD_ORIT,REC_IM,0.0000346091,0.0478204303,0.2610136835
NA_R_1_n,A_V_BLOK,0.0004289678,0.0495377825,0.260731068
S_AD_ORIT,FIBR_PREDS,0.0743977921,0.0306444471,0.2530537349
ant_im_1.0,P_IM_STEN,0.0,0.0087409608,0.2505596477
NA_BLOOD,REC_IM,0.000084949,0.077579636,0.2491975322
ALT_BLOOD,FIBR_JELUD,0.0010009706,0.0073726401,0.2420669933
DLIT_AG_nan,REC_IM,0.0,0.0126885987,0.241939125
D_AD_ORIT,A_V_BLOK,0.0019532932,0.0132036141,0.2415066071
AST_BLOOD,P_IM_STEN,0.0056960275,0.0810206736,0.2391145131
AST_BLOOD,JELUD_TAH,0.0005310749,0.0031774831,0.2371214168
NOT_NA_KB_1.0,P_IM_STEN,0.0,0.0050278318,0.2364528143
IBS_POST_1.0,P_IM_STEN,0.0,0.0047948853,0.2251894933
NA_BLOOD,DRESSLER,0.0038749238,0.0258259793,0.2232995122
S_AD_ORIT,JELUD_TAH,0.0,0.0041141258,0.222848296
AST_BLOOD,A_V_BLOK,0.0313074985,0.0422186405,0.2185475835
TIME_B_S_2.0,REC_IM,0.0,0.0085485628,0.215718267
inf_im_1.0,P_IM_STEN,0.0,0.0050012597,0.2132914633
ROE,FIBR_PREDS,0.037842827,0.0306474634,0.2115531454
IBS_POST_1.0,DRESSLER,0.0,0.0075309381,0.2056722412
AST_BLOOD,DRESSLER,0.0028490374,0.101618824,0.2050590856
lat_im_2.0,REC_IM,0.0,0.0171212468,0.20365742
S_AD_ORIT,DRESSLER,0.0089367211,0.0247053929,0.201778544
INF_ANAM_2.0,DRESSLER,0.0,0.0042507714,0.19891506
ALT_BLOOD,ZSN,0.0242928017,0.0146837668,0.1954377883
K_BLOOD,A_V_BLOK,0.0005764985,0.0270654434,0.1947455335
ALT_BLOOD,REC_IM,0.000778397,0.0786912417,0.1915212594
IBS_POST_2.0,REC_IM,0.0,0.0051525013,0.1886044538
TIME_B_S_9.0,DRESSLER,0.0,0.0109763823,0.1861376487
R_AB_3_n_1.0,DRESSLER,0.0,0.0128808372,0.18328772
TIME_B_S_6.0,P_IM_STEN,0.0,0.0060723014,0.1818586
