Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
adhesion,0.0,0.0278353609,0.0574535126,1,2,3
chromatin,0.0041134257,0.0495025368,0.0622836175,2,6,4
mitosis,0.0116342993,0.0057030328,0.031639934,4,1,1
nuclei,0.3605137961,0.0960681967,0.1766651003,8,8,9
nucleoli,0.0450909734,0.0370693037,0.0676053518,6,3,5
shape,0.0189683497,0.0896444061,0.1021825014,5,7,6
single,0.006495001,0.0381319105,0.0519850757,3,4,2
size,0.1249747532,0.135390939,0.1359343019,7,9,8
thickness,0.0,0.0466223338,0.1077689557,1,5,7
