Attribute,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
mitosis,0.0,0.0084342919,0.0464838782,0.0058971429,0.0058971429,0.3429314286,0.3428095238
adhesion,0.0,0.0440859862,0.070379124,0.0325561905,0.0287961905,0.3339419048,0.3428095238
single,0.0,0.0605432301,0.0711295104,0.026707619,0.0295304762,0.3403685714,0.3428095238
nucleoli,0.0229116641,0.0494208507,0.0990573767,0.0327038095,0.0437571429,0.3522742857,0.3428095238
chromatin,0.0037866111,0.0666470709,0.0831857133,0.0354238095,0.0645085714,0.3461371429,0.3428095238
nuclei,0.3352454563,0.1060683626,0.1851528389,0.0767590476,0.0852257143,0.3411371429,0.3428095238
thickness,0.0895937334,0.0605801068,0.1246367531,0.0587790476,0.0923952381,0.3258561905,0.3428095238
size,0.1700268886,0.1327805232,0.1729962601,0.0953390476,0.0944533333,0.3368133333,0.3428095238
