Attribute,Target,Rulex,SHAP,LIME,Ablation ,Cum_Ablation,Curr_Pred,Org_Pred
K_BLOOD,DRESSLER,0.0015458633,0.1749209034,0.037174007,0.0255466863,0.0585195174,0.3463426729,0.3465545524
D_AD_ORIT,OTEK_LANC,0.0039702406,0.1726430516,0.0113104453,0.0121764841,0.0271350137,0.3860788451,0.3803907204
LID_KB_nan,DRESSLER,0.0,0.1690002678,0.004725676,0.0301817399,0.0660566527,0.2524846981,0.3141507674
NA_R_2_n,OTEK_LANC,0.0155573267,0.162720498,0.0908929352,0.0116600166,0.0372617331,0.3976935887,0.3803907204
SIM_GIPERT_1.0,DRESSLER,0.0,0.1482308833,0.0191271614,0.0149143582,0.0109964633,0.4108302457,0.4224202267
NA_BLOOD,PREDS_TAH,0.0113547145,0.1448055535,0.0243003282,0.0234268944,0.0273972498,0.1800139237,0.1785477695
NA_R_1_n,DRESSLER,0.0017519927,0.1330387031,0.0297736254,0.0277629581,0.035034475,0.3200660111,0.3366490829
NA_R_1_n,PREDS_TAH,0.0013247177,0.1306228475,0.014626368,0.0125525883,0.0217926065,0.1965280855,0.1785477695
D_AD_ORIT,DRESSLER,0.0037904731,0.1256599744,0.0501741784,0.0224023579,0.0495064389,0.3064433922,0.3366490829
lat_im_1.0,DRESSLER,0.0,0.1179692623,0.0055393062,0.0183500293,0.0325269912,0.3362131016,0.3553377514
INF_ANAM_2.0,DRESSLER,0.0,0.1154654717,0.0052656727,0.0060359713,0.0058938753,0.620482047,0.6261065248
lat_im_2.0,DRESSLER,0.0,0.1131282367,0.0166193292,0.016679009,0.0185419876,0.2749632081,0.287373831
TIME_B_S_8.0,DRESSLER,0.0,0.1094960797,0.011144983,0.011476328,0.0058415725,0.3466295733,0.3398899153
inf_im_2.0,DRESSLER,0.0,0.1024833223,0.0072184489,0.0004493023,0.0090310324,0.16520816,0.175441038
TIME_B_S_2.0,DRESSLER,0.0,0.0958932956,0.0071416988,0.019993308,0.0267905694,0.3644708835,0.3774188404
ritm_ecg_p_01_nan,DRESSLER,0.0,0.0910115908,0.0082454779,0.0085009977,0.010663839,0.3518529205,0.3485361627
NA_R_3_n,PREDS_TAH,0.0123969067,0.0900952237,0.0397847475,0.0052415282,0.0125659413,0.1948859316,0.1785477695
STENOK_AN_1.0,DRESSLER,0.0,0.0892370933,0.005748549,0.0129016545,0.017097791,0.3757857117,0.398413586
K_BLOOD,OTEK_LANC,0.0044782576,0.0879194621,0.0080093817,0.0070536907,0.0154235314,0.3860008748,0.3803907204
R_AB_3_n_1.0,DRESSLER,0.0,0.0869490278,0.0141572436,0.0024649989,0.00122625,0.4529608584,0.4583234382
zab_leg_01_1.0,DRESSLER,0.0,0.07750735,0.011202578,0.0063222975,0.0063412351,0.1906012293,0.191818254
NA_KB_1.0,DRESSLER,0.0,0.0706549958,0.0070261978,0.0121857592,0.0175725195,0.3039446325,0.294935661
GEPAR_S_n_1.0,DRESSLER,0.0,0.0704792855,0.0,0.0057595227,0.0173388619,0.3410888818,0.3457010097
NOT_NA_KB_nan,DRESSLER,0.0,0.0640421206,0.0057399583,0.0098830304,0.0232354306,0.3373895921,0.3141507674
STENOK_AN_4.0,DRESSLER,0.0,0.05748583,0.0160828484,0.0086183948,0.0080888073,0.6156286513,0.6261065248
